state,type,date,abs,rate
Johor,perinatal,1/1/2023,383,6.8
Kedah,perinatal,1/1/2023,243,7.2
Kelantan,perinatal,1/1/2023,289,8.1
Melaka,perinatal,1/1/2023,106,7.8
Negeri Sembilan,perinatal,1/1/2023,115,6.9
Pahang,perinatal,1/1/2023,208,8.6
Perak,perinatal,1/1/2023,268,8.7
Perlis,perinatal,1/1/2023,41,10.5
Pulau Pinang,perinatal,1/1/2023,132,6.7
Sabah,perinatal,1/1/2023,466,10
Sarawak,perinatal,1/1/2023,235,6.9
Selangor,perinatal,1/1/2023,667,7.3
Terengganu,perinatal,1/1/2023,244,9.3
W.P. Kuala Lumpur,perinatal,1/1/2023,169,7.8
W.P. Labuan,perinatal,1/1/2023,18,12.7
W.P. Putrajaya,perinatal,1/1/2023,19,11
Johor,neonatal,1/1/2023,206,3.7
Kedah,neonatal,1/1/2023,123,3.6
Kelantan,neonatal,1/1/2023,173,4.8
Melaka,neonatal,1/1/2023,60,4.4
Negeri Sembilan,neonatal,1/1/2023,74,4.5
Pahang,neonatal,1/1/2023,125,5.2
Perak,neonatal,1/1/2023,141,4.6
Perlis,neonatal,1/1/2023,20,5.2
Pulau Pinang,neonatal,1/1/2023,70,3.6
Sabah,neonatal,1/1/2023,221,4.8
Sarawak,neonatal,1/1/2023,133,3.9
Selangor,neonatal,1/1/2023,348,3.8
Terengganu,neonatal,1/1/2023,151,5.8
W.P. Kuala Lumpur,neonatal,1/1/2023,72,3.4
W.P. Labuan,neonatal,1/1/2023,8,5.7
W.P. Putrajaya,neonatal,1/1/2023,16,9.3
Johor,infant,1/1/2023,341,6.1
Kedah,infant,1/1/2023,200,5.9
Kelantan,infant,1/1/2023,251,7
Melaka,infant,1/1/2023,90,6.6
Negeri Sembilan,infant,1/1/2023,115,6.9
Pahang,infant,1/1/2023,198,8.2
Perak,infant,1/1/2023,220,7.2
Perlis,infant,1/1/2023,24,6.2
Pulau Pinang,infant,1/1/2023,110,5.6
Sabah,infant,1/1/2023,382,8.2
Sarawak,infant,1/1/2023,217,6.4
Selangor,infant,1/1/2023,558,6.2
Terengganu,infant,1/1/2023,202,7.7
W.P. Kuala Lumpur,infant,1/1/2023,112,5.2
W.P. Labuan,infant,1/1/2023,10,7.1
W.P. Putrajaya,infant,1/1/2023,24,14
Johor,toddler,1/1/2023,71,0.3
Kedah,toddler,1/1/2023,49,0.4
Kelantan,toddler,1/1/2023,57,0.4
Melaka,toddler,1/1/2023,20,0.4
Negeri Sembilan,toddler,1/1/2023,33,0.5
Pahang,toddler,1/1/2023,35,0.4
Perak,toddler,1/1/2023,40,0.3
Perlis,toddler,1/1/2023,4,0.2
Pulau Pinang,toddler,1/1/2023,24,0.3
Sabah,toddler,1/1/2023,112,0.5
Sarawak,toddler,1/1/2023,52,0.4
Selangor,toddler,1/1/2023,125,0.3
Terengganu,toddler,1/1/2023,48,0.5
W.P. Kuala Lumpur,toddler,1/1/2023,33,0.4
W.P. Labuan,toddler,1/1/2023,3,0.5
W.P. Putrajaya,toddler,1/1/2023,3,0.3
