date,state,district,piped_water,sanitation,electricity
1/1/2022,Sabah,Beaufort,89.8,100,99.7
1/1/2022,Sabah,Beluran,63.6,95.7,83.4
1/1/2022,Sabah,Keningau,84.8,99.8,99.8
1/1/2022,Sabah,Kinabatangan,78.7,100,91.1
1/1/2022,Sabah,Kota Belud,72.7,100,100
1/1/2022,Sabah,Kota Kinabalu,93.9,99.6,99.8
1/1/2022,Sabah,Kota Marudu,81.6,99.1,99.6
1/1/2022,Sabah,Kuala Penyu,97.1,100,100
1/1/2022,Sabah,Kudat,91,100,96.4
1/1/2022,Sabah,Kunak,95.5,95.9,97
1/1/2022,Sabah,Lahad Datu,90.5,93.8,99.5
1/1/2022,Sabah,Nabawan,68.8,100,95.8
1/1/2022,Sabah,Papar,95.6,100,99.8
1/1/2022,Sabah,Penampang,97,100,99.3
1/1/2022,Sabah,Pitas,76.6,100,98.2
1/1/2022,Sabah,Putatan,96.8,100,100
1/1/2022,Sabah,Ranau,47.4,99,94.7
1/1/2022,Sabah,Sandakan,97,99.9,99.5
1/1/2022,Sabah,Semporna,71.8,84.1,100
1/1/2022,Sabah,Sipitang,93.7,99.4,100
1/1/2022,Sabah,Tambunan,74.4,99.2,100
1/1/2022,Sabah,Tawau,98.4,99.1,99.9
1/1/2022,Sabah,Telupid,80,100,100
1/1/2022,Sabah,Tenom,50.9,100,100
1/1/2022,Sabah,Tongod,53.4,99.2,95.8
1/1/2022,Sabah,Tuaran,76.5,100,100
1/1/2022,Sarawak,Asajaya,100,100,100
1/1/2022,Sarawak,Bau,92.1,100,100
1/1/2022,Sarawak,Belaga,48.5,100,91.8
1/1/2022,Sarawak,Beluru,90.5,100,100
1/1/2022,Sarawak,Betong,95.8,100,100
1/1/2022,Sarawak,Bintulu,96.8,100,98.1
1/1/2022,Sarawak,Bukit Mabong,21.6,100,40.2
1/1/2022,Sarawak,Dalat,89.7,100,93.7
1/1/2022,Sarawak,Daro,83,100,97.5
1/1/2022,Sarawak,Julau,46.8,100,93.6
1/1/2022,Sarawak,Kabong,82.8,100,100
1/1/2022,Sarawak,Kanowit,77.8,100,93.7
1/1/2022,Sarawak,Kapit,57.3,100,88.8
1/1/2022,Sarawak,Kuching,99.5,100,100
1/1/2022,Sarawak,Lawas,65,100,98.4
1/1/2022,Sarawak,Limbang,87.6,100,98.4
1/1/2022,Sarawak,Lubok Antu,90.1,100,95.1
1/1/2022,Sarawak,Lundu,63.6,100,100
1/1/2022,Sarawak,Maradong,96.7,100,99.5
1/1/2022,Sarawak,Marudi,47.4,99.5,95.7
1/1/2022,Sarawak,Matu,87.7,100,93.8
1/1/2022,Sarawak,Miri,98.5,99.9,96.3
1/1/2022,Sarawak,Mukah,88.5,99.5,97.2
1/1/2022,Sarawak,Pakan,87.3,100,96.1
1/1/2022,Sarawak,Pusa,74.2,100,95.7
1/1/2022,Sarawak,Samarahan,100,100,100
1/1/2022,Sarawak,Saratok,98.3,100,100
1/1/2022,Sarawak,Sarikei,96.7,100,100
1/1/2022,Sarawak,Sebauh,68.7,100,100
1/1/2022,Sarawak,Selangau,38.5,100,93.3
1/1/2022,Sarawak,Serian,86.2,100,99
1/1/2022,Sarawak,Sibu,98.1,99.9,100
1/1/2022,Sarawak,Simunjan,70.5,100,100
1/1/2022,Sarawak,Song,29.8,100,78.1
1/1/2022,Sarawak,Sri Aman,84.7,100,97.9
1/1/2022,Sarawak,Subis,67.4,100,100
1/1/2022,Sarawak,Tanjung Manis,92.4,100,100
1/1/2022,Sarawak,Tatau,63.7,100,77.8
1/1/2022,Sarawak,Tebedu,44.1,100,91.4
1/1/2022,Sarawak,Telang Usan,57.8,100,92.8
