date,state,district,piped_water,sanitation,electricity
1/1/2022,Johor,All Districts,99.6,100,99.6
1/1/2022,Kedah,All Districts,99.6,100,99.6
1/1/2022,Kelantan,All Districts,70.2,99.8,70.2
1/1/2022,Melaka,All Districts,100,100,100
1/1/2022,Negeri Sembilan,All Districts,99.8,100,99.8
1/1/2022,Pahang,All Districts,98.3,99.4,98.3
1/1/2022,Perak,All Districts,99.2,100,99.2
1/1/2022,Perlis,Perlis,100,100,100
1/1/2022,Pulau Pinang,All Districts,100,100,100
1/1/2022,Sabah,All Districts,87.6,98.8,87.6
1/1/2022,Sarawak,All Districts,90,100,90
1/1/2022,Selangor,All Districts,100,100,100
1/1/2022,Terengganu,All Districts,98.5,100,98.5
1/1/2022,W.P. Kuala Lumpur,W.P. Kuala Lumpur,100,100,100
1/1/2022,W.P. Labuan,W.P. Labuan,100,100,100
1/1/2022,W.P. Putrajaya,W.P. Putrajaya,100,100,100
