state,district,date,income_mean,income_median
Johor,Batu Pahat,1/1/2022,7419,6347
Johor,Johor Bahru,1/1/2022,9869,8232
Johor,Kluang,1/1/2022,6461,5204
Johor,Kota Tinggi,1/1/2022,7529,6227
Johor,Kulai,1/1/2022,9177,7460
Johor,Mersing,1/1/2022,5426,4445
Johor,Muar,1/1/2022,7572,5724
Johor,Pontian,1/1/2022,6913,5616
Johor,Segamat,1/1/2022,6578,5318
Johor,Tangkak,1/1/2022,7093,5622
Kedah,Baling,1/1/2022,4263,3400
Kedah,Bandar Baharu,1/1/2022,4565,3922
Kedah,Kota Setar,1/1/2022,5959,4751
Kedah,Kuala Muda,1/1/2022,5624,4200
Kedah,Kubang Pasu,1/1/2022,6221,5201
Kedah,Kulim,1/1/2022,5636,4498
Kedah,Langkawi,1/1/2022,6087,5250
Kedah,Padang Terap,1/1/2022,4858,3902
Kedah,Pendang,1/1/2022,4986,3801
Kedah,Pokok Sena,1/1/2022,5494,4668
Kedah,Sik,1/1/2022,5053,3703
Kedah,Yan,1/1/2022,4637,4080
Kelantan,Bachok,1/1/2022,4811,3625
Kelantan,Gua Musang,1/1/2022,4473,3342
Kelantan,Jeli,1/1/2022,3735,2906
Kelantan,Kecil Lojing,1/1/2022,3153,2630
Kelantan,Kota Bharu,1/1/2022,5693,4330
Kelantan,Kuala Krai,1/1/2022,3798,2763
Kelantan,Machang,1/1/2022,4987,3429
Kelantan,Pasir Mas,1/1/2022,4602,3508
Kelantan,Pasir Puteh,1/1/2022,4712,3453
Kelantan,Tanah Merah,1/1/2022,4177,2991
Kelantan,Tumpat,1/1/2022,4741,3749
Melaka,Alor Gajah,1/1/2022,7235,5611
Melaka,Jasin,1/1/2022,7145,5895
Melaka,Melaka Tengah,1/1/2022,8593,6557
Negeri Sembilan,Jelebu,1/1/2022,4445,3636
Negeri Sembilan,Jempol,1/1/2022,4848,3830
Negeri Sembilan,Kuala Pilah,1/1/2022,4509,3471
Negeri Sembilan,Port Dickson,1/1/2022,6054,4805
Negeri Sembilan,Rembau,1/1/2022,5544,4655
Negeri Sembilan,Seremban,1/1/2022,7900,6384
Negeri Sembilan,Tampin,1/1/2022,5097,4012
Pahang,Bentong,1/1/2022,5563,4691
Pahang,Bera,1/1/2022,4567,3866
Pahang,Cameron Highlands,1/1/2022,6265,5221
Pahang,Jerantut,1/1/2022,4537,3781
Pahang,Kuantan,1/1/2022,6938,5926
Pahang,Lipis,1/1/2022,4959,4115
Pahang,Maran,1/1/2022,5036,4319
Pahang,Pekan,1/1/2022,4780,4053
Pahang,Raub,1/1/2022,5445,4375
Pahang,Rompin,1/1/2022,5103,4148
Pahang,Temerloh,1/1/2022,5180,4283
Perak,Bagan Datuk,1/1/2022,5160,4076
Perak,Batang Padang,1/1/2022,5178,3953
Perak,Hilir Perak,1/1/2022,5203,4199
Perak,Hulu Perak,1/1/2022,4891,3467
Perak,Kampar,1/1/2022,5087,4347
Perak,Kerian,1/1/2022,5276,3996
Perak,Kinta,1/1/2022,6308,5037
Perak,Kuala Kangsar,1/1/2022,5176,3813
Perak,Larut dan Matang,1/1/2022,5400,4029
Perak,Manjung,1/1/2022,6318,5135
Perak,Muallim,1/1/2022,6122,5015
Perak,Perak Tengah,1/1/2022,5956,4564
Perak,Selama,1/1/2022,4439,3673
Perlis,Perlis,1/1/2022,5664,4713
Pulau Pinang,Barat Daya,1/1/2022,9254,7247
Pulau Pinang,Seberang Perai Selatan,1/1/2022,7472,6231
Pulau Pinang,Seberang Perai Tengah,1/1/2022,8056,6220
Pulau Pinang,Seberang Perai Utara,1/1/2022,7330,6103
Pulau Pinang,Timur Laut,1/1/2022,8727,6714
Sabah,Beaufort,1/1/2022,4902,4018
Sabah,Beluran,1/1/2022,4501,3131
Sabah,Kalabakan,1/1/2022,4938,3931
Sabah,Keningau,1/1/2022,5979,4502
Sabah,Kinabatangan,1/1/2022,5543,4162
Sabah,Kota Belud,1/1/2022,4949,3429
Sabah,Kota Kinabalu,1/1/2022,8388,5957
Sabah,Kota Marudu,1/1/2022,4031,2677
Sabah,Kuala Penyu,1/1/2022,4311,3487
Sabah,Kudat,1/1/2022,4049,2994
Sabah,Kunak,1/1/2022,5838,4480
Sabah,Lahad Datu,1/1/2022,5995,4457
Sabah,Nabawan,1/1/2022,5016,4110
Sabah,Papar,1/1/2022,5980,4871
Sabah,Penampang,1/1/2022,7491,6265
Sabah,Pitas,1/1/2022,3406,2329
Sabah,Putatan,1/1/2022,7110,5699
Sabah,Ranau,1/1/2022,5270,4058
Sabah,Sandakan,1/1/2022,6030,4828
Sabah,Semporna,1/1/2022,5098,4093
Sabah,Sipitang,1/1/2022,5479,4182
Sabah,Tambunan,1/1/2022,5113,4055
