date,state,district,type,beds
1/1/2022,Johor,Batu Pahat,hospital_moh,610
1/1/2022,Johor,Batu Pahat,hospital_non_moh,0
1/1/2022,Johor,Batu Pahat,special_medical_institution,0
1/1/2022,Johor,Johor Bahru,hospital_moh,1910
1/1/2022,Johor,Johor Bahru,hospital_non_moh,0
1/1/2022,Johor,Johor Bahru,special_medical_institution,1132
1/1/2022,Johor,Kluang,hospital_moh,382
1/1/2022,Johor,Kluang,hospital_non_moh,0
1/1/2022,Johor,Kluang,special_medical_institution,0
1/1/2022,Johor,Kota Tinggi,hospital_moh,158
1/1/2022,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2022,Johor,Kota Tinggi,special_medical_institution,0
1/1/2022,Johor,Kulaijaya,hospital_moh,93
1/1/2022,Johor,Kulaijaya,hospital_non_moh,0
1/1/2022,Johor,Kulaijaya,special_medical_institution,0
1/1/2022,Johor,Ledang,hospital_moh,69
1/1/2022,Johor,Ledang,hospital_non_moh,0
1/1/2022,Johor,Ledang,special_medical_institution,0
1/1/2022,Johor,Mersing,hospital_moh,70
1/1/2022,Johor,Mersing,hospital_non_moh,0
1/1/2022,Johor,Mersing,special_medical_institution,0
1/1/2022,Johor,Muar,hospital_moh,575
1/1/2022,Johor,Muar,hospital_non_moh,0
1/1/2022,Johor,Muar,special_medical_institution,0
1/1/2022,Johor,Pontian,hospital_moh,120
1/1/2022,Johor,Pontian,hospital_non_moh,0
1/1/2022,Johor,Pontian,special_medical_institution,0
1/1/2022,Johor,Segamat,hospital_moh,314
1/1/2022,Johor,Segamat,hospital_non_moh,0
1/1/2022,Johor,Segamat,special_medical_institution,0
1/1/2022,Kedah,Baling,hospital_moh,115
1/1/2022,Kedah,Baling,hospital_non_moh,0
1/1/2022,Kedah,Baling,special_medical_institution,0
1/1/2022,Kedah,Bandar Baharu,hospital_moh,0
1/1/2022,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2022,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2022,Kedah,Kota Setar,hospital_moh,1108
1/1/2022,Kedah,Kota Setar,hospital_non_moh,0
1/1/2022,Kedah,Kota Setar,special_medical_institution,0
1/1/2022,Kedah,Kuala Muda,hospital_moh,703
1/1/2022,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2022,Kedah,Kuala Muda,special_medical_institution,0
1/1/2022,Kedah,Kubang Pasu,hospital_moh,91
1/1/2022,Kedah,Kubang Pasu,hospital_non_moh,0
1/1/2022,Kedah,Kubang Pasu,special_medical_institution,0
1/1/2022,Kedah,Kulim,hospital_moh,320
1/1/2022,Kedah,Kulim,hospital_non_moh,0
1/1/2022,Kedah,Kulim,special_medical_institution,0
1/1/2022,Kedah,Langkawi,hospital_moh,163
1/1/2022,Kedah,Langkawi,hospital_non_moh,0
1/1/2022,Kedah,Langkawi,special_medical_institution,0
1/1/2022,Kedah,Padang Terap,hospital_moh,80
1/1/2022,Kedah,Padang Terap,hospital_non_moh,0
1/1/2022,Kedah,Padang Terap,special_medical_institution,0
1/1/2022,Kedah,Pendang,hospital_moh,0
1/1/2022,Kedah,Pendang,hospital_non_moh,0
1/1/2022,Kedah,Pendang,special_medical_institution,0
1/1/2022,Kedah,Pokok Sena,hospital_moh,0
1/1/2022,Kedah,Pokok Sena,hospital_non_moh,0
1/1/2022,Kedah,Pokok Sena,special_medical_institution,0
1/1/2022,Kedah,Sik,hospital_moh,93
1/1/2022,Kedah,Sik,hospital_non_moh,0
1/1/2022,Kedah,Sik,special_medical_institution,0
1/1/2022,Kedah,Yan,hospital_moh,89
1/1/2022,Kedah,Yan,hospital_non_moh,0
1/1/2022,Kedah,Yan,special_medical_institution,0
1/1/2022,Kelantan,Bachok,hospital_moh,0
1/1/2022,Kelantan,Bachok,hospital_non_moh,0
1/1/2022,Kelantan,Bachok,special_medical_institution,0
1/1/2022,Kelantan,Gua Musang,hospital_moh,90
1/1/2022,Kelantan,Gua Musang,hospital_non_moh,0
1/1/2022,Kelantan,Gua Musang,special_medical_institution,0
1/1/2022,Kelantan,Jeli,hospital_moh,80
1/1/2022,Kelantan,Jeli,hospital_non_moh,0
1/1/2022,Kelantan,Jeli,special_medical_institution,0
1/1/2022,Kelantan,Kota Bharu,hospital_moh,982
1/1/2022,Kelantan,Kota Bharu,hospital_non_moh,829
1/1/2022,Kelantan,Kota Bharu,special_medical_institution,0
1/1/2022,Kelantan,Kuala Krai,hospital_moh,424
1/1/2022,Kelantan,Kuala Krai,hospital_non_moh,0
1/1/2022,Kelantan,Kuala Krai,special_medical_institution,0
1/1/2022,Kelantan,Machang,hospital_moh,90
1/1/2022,Kelantan,Machang,hospital_non_moh,0
1/1/2022,Kelantan,Machang,special_medical_institution,0
1/1/2022,Kelantan,Pasir Mas,hospital_moh,120
1/1/2022,Kelantan,Pasir Mas,hospital_non_moh,0
1/1/2022,Kelantan,Pasir Mas,special_medical_institution,0
1/1/2022,Kelantan,Pasir Puteh,hospital_moh,90
1/1/2022,Kelantan,Pasir Puteh,hospital_non_moh,0
1/1/2022,Kelantan,Pasir Puteh,special_medical_institution,0
1/1/2022,Kelantan,Tanah Merah,hospital_moh,146
1/1/2022,Kelantan,Tanah Merah,hospital_non_moh,0
1/1/2022,Kelantan,Tanah Merah,special_medical_institution,0
1/1/2022,Kelantan,Tumpat,hospital_moh,119
1/1/2022,Kelantan,Tumpat,hospital_non_moh,0
1/1/2022,Kelantan,Tumpat,special_medical_institution,0
1/1/2022,Melaka,Alor Gajah,hospital_moh,106
1/1/2022,Melaka,Alor Gajah,hospital_non_moh,0
1/1/2022,Melaka,Alor Gajah,special_medical_institution,0
1/1/2022,Melaka,Jasin,hospital_moh,103
1/1/2022,Melaka,Jasin,hospital_non_moh,0
1/1/2022,Melaka,Jasin,special_medical_institution,0
1/1/2022,Melaka,Melaka Tengah,hospital_moh,1101
1/1/2022,Melaka,Melaka Tengah,hospital_non_moh,144
1/1/2022,Melaka,Melaka Tengah,special_medical_institution,0
1/1/2022,Negeri Sembilan,Jelebu,hospital_moh,76
1/1/2022,Negeri Sembilan,Jelebu,hospital_non_moh,0
1/1/2022,Negeri Sembilan,Jelebu,special_medical_institution,0
1/1/2022,Negeri Sembilan,Jempol,hospital_moh,108
1/1/2022,Negeri Sembilan,Jempol,hospital_non_moh,0
1/1/2022,Negeri Sembilan,Jempol,special_medical_institution,0
1/1/2022,Negeri Sembilan,Kuala Pilah,hospital_moh,314
1/1/2022,Negeri Sembilan,Kuala Pilah,hospital_non_moh,0
1/1/2022,Negeri Sembilan,Kuala Pilah,special_medical_institution,0
1/1/2022,Negeri Sembilan,Port Dickson,hospital_moh,116
1/1/2022,Negeri Sembilan,Port Dickson,hospital_non_moh,0
1/1/2022,Negeri Sembilan,Port Dickson,special_medical_institution,0
1/1/2022,Negeri Sembilan,Rembau,hospital_moh,76
1/1/2022,Negeri Sembilan,Rembau,hospital_non_moh,0
1/1/2022,Negeri Sembilan,Rembau,special_medical_institution,0
1/1/2022,Negeri Sembilan,Seremban,hospital_moh,1143
1/1/2022,Negeri Sembilan,Seremban,hospital_non_moh,0
1/1/2022,Negeri Sembilan,Seremban,special_medical_institution,0
1/1/2022,Negeri Sembilan,Tampin,hospital_moh,108
1/1/2022,Negeri Sembilan,Tampin,hospital_non_moh,36
1/1/2022,Negeri Sembilan,Tampin,special_medical_institution,0
1/1/2022,Pahang,Bentong,hospital_moh,152
1/1/2022,Pahang,Bentong,hospital_non_moh,0
1/1/2022,Pahang,Bentong,special_medical_institution,0
1/1/2022,Pahang,Bera,hospital_moh,40
1/1/2022,Pahang,Bera,hospital_non_moh,0
1/1/2022,Pahang,Bera,special_medical_institution,0
1/1/2022,Pahang,Cameron Highlands,hospital_moh,40
1/1/2022,Pahang,Cameron Highlands,hospital_non_moh,0
1/1/2022,Pahang,Cameron Highlands,special_medical_institution,0
1/1/2022,Pahang,Jerantut,hospital_moh,77
1/1/2022,Pahang,Jerantut,hospital_non_moh,0
1/1/2022,Pahang,Jerantut,special_medical_institution,0
1/1/2022,Pahang,Kuantan,hospital_moh,851
1/1/2022,Pahang,Kuantan,hospital_non_moh,325
1/1/2022,Pahang,Kuantan,special_medical_institution,0
1/1/2022,Pahang,Lipis,hospital_moh,168
1/1/2022,Pahang,Lipis,hospital_non_moh,0
1/1/2022,Pahang,Lipis,special_medical_institution,0
1/1/2022,Pahang,Maran,hospital_moh,70
1/1/2022,Pahang,Maran,hospital_non_moh,0
1/1/2022,Pahang,Maran,special_medical_institution,0
1/1/2022,Pahang,Pekan,hospital_moh,110
1/1/2022,Pahang,Pekan,hospital_non_moh,0
1/1/2022,Pahang,Pekan,special_medical_institution,0
1/1/2022,Pahang,Raub,hospital_moh,89
1/1/2022,Pahang,Raub,hospital_non_moh,0
1/1/2022,Pahang,Raub,special_medical_institution,0
1/1/2022,Pahang,Rompin,hospital_moh,109
1/1/2022,Pahang,Rompin,hospital_non_moh,0
1/1/2022,Pahang,Rompin,special_medical_institution,0
1/1/2022,Pahang,Temerloh,hospital_moh,650
1/1/2022,Pahang,Temerloh,hospital_non_moh,0
1/1/2022,Pahang,Temerloh,special_medical_institution,0
1/1/2022,Perak,Batang Padang (Tapah),hospital_moh,350
1/1/2022,Perak,Batang Padang (Tapah),hospital_non_moh,0
1/1/2022,Perak,Batang Padang (Tapah),special_medical_institution,0
1/1/2022,Perak,Hilir Perak,hospital_moh,548
1/1/2022,Perak,Hilir Perak,hospital_non_moh,0
1/1/2022,Perak,Hilir Perak,special_medical_institution,0
1/1/2022,Perak,Hulu Perak,hospital_moh,75
1/1/2022,Perak,Hulu Perak,hospital_non_moh,0
1/1/2022,Perak,Hulu Perak,special_medical_institution,0
1/1/2022,Perak,Kampar,hospital_moh,68
1/1/2022,Perak,Kampar,hospital_non_moh,0
1/1/2022,Perak,Kampar,special_medical_institution,0
1/1/2022,Perak,Kerian,hospital_moh,100
1/1/2022,Perak,Kerian,hospital_non_moh,0
1/1/2022,Perak,Kerian,special_medical_institution,0
1/1/2022,Perak,Kinta (Ipoh),hospital_moh,1554
1/1/2022,Perak,Kinta (Ipoh),hospital_non_moh,0
1/1/2022,Perak,Kinta (Ipoh),special_medical_institution,1800
1/1/2022,Perak,Kuala Kangsar,hospital_moh,229
1/1/2022,Perak,Kuala Kangsar,hospital_non_moh,0
1/1/2022,Perak,Kuala Kangsar,special_medical_institution,0
1/1/2022,Perak,Larut & Matang (Taiping),hospital_moh,698
1/1/2022,Perak,Larut & Matang (Taiping),hospital_non_moh,0
1/1/2022,Perak,Larut & Matang (Taiping),special_medical_institution,0
1/1/2022,Perak,Manjung (Sitiawan),hospital_moh,305
1/1/2022,Perak,Manjung (Sitiawan),hospital_non_moh,110
1/1/2022,Perak,Manjung (Sitiawan),special_medical_institution,0
1/1/2022,Perak,Perak Tengah,hospital_moh,50
1/1/2022,Perak,Perak Tengah,hospital_non_moh,0
1/1/2022,Perak,Perak Tengah,special_medical_institution,0
1/1/2022,Perlis,Perlis,hospital_moh,508
1/1/2022,Perlis,Perlis,hospital_non_moh,0
1/1/2022,Perlis,Perlis,special_medical_institution,0
1/1/2022,Pulau Pinang,Barat Daya,hospital_moh,81
1/1/2022,Pulau Pinang,Barat Daya,hospital_non_moh,0
1/1/2022,Pulau Pinang,Barat Daya,special_medical_institution,0
1/1/2022,Pulau Pinang,Seberang Perai Selatan,hospital_moh,105
1/1/2022,Pulau Pinang,Seberang Perai Selatan,hospital_non_moh,0
1/1/2022,Pulau Pinang,Seberang Perai Selatan,special_medical_institution,0
1/1/2022,Pulau Pinang,Seberang Perai Tengah,hospital_moh,655
1/1/2022,Pulau Pinang,Seberang Perai Tengah,hospital_non_moh,0
1/1/2022,Pulau Pinang,Seberang Perai Tengah,special_medical_institution,0
1/1/2022,Pulau Pinang,Seberang Perai Utara (Butterworth),hospital_moh,134
1/1/2022,Pulau Pinang,Seberang Perai Utara (Butterworth),hospital_non_moh,0
1/1/2022,Pulau Pinang,Seberang Perai Utara (Butterworth),special_medical_institution,0
1/1/2022,Pulau Pinang,Timur Laut (Georgetown),hospital_moh,1163
1/1/2022,Pulau Pinang,Timur Laut (Georgetown),hospital_non_moh,0
1/1/2022,Pulau Pinang,Timur Laut (Georgetown),special_medical_institution,0
1/1/2022,Sabah,Beaufort,hospital_moh,275
1/1/2022,Sabah,Beaufort,hospital_non_moh,0
1/1/2022,Sabah,Beaufort,special_medical_institution,0
1/1/2022,Sabah,Beluran,hospital_moh,52
1/1/2022,Sabah,Beluran,hospital_non_moh,0
