date,state,income_mean,income_median,expenditure_mean,poverty
1/1/2022,Johor,8517,6879,5342,4.6
1/1/2022,Kedah,5550,4402,3765,9
1/1/2022,Kelantan,4885,3614,3505,13.2
1/1/2022,Melaka,8057,6210,5707,4.2
1/1/2022,Negeri Sembilan,6788,5226,4678,4.4
1/1/2022,Pahang,5777,4753,4107,6.3
1/1/2022,Pulau Pinang,8267,6502,5322,2
1/1/2022,Perak,5779,4494,3903,7.5
1/1/2022,Perlis,5664,4713,3834,4
1/1/2022,Selangor,12233,9983,6770,1.5
1/1/2022,Terengganu,7248,5878,4796,6.2
1/1/2022,Sabah,6171,4577,3342,19.7
1/1/2022,Sarawak,6457,4978,3915,10.8
1/1/2022,W.P. Kuala Lumpur,13325,10234,7823,1.4
1/1/2022,W.P. Labuan,8250,6904,4176,2.5
1/1/2022,W.P. Putrajaya,13473,10056,8897,0.1
1/1/2022,Malaysia,8479,6338,5150,6.2
