state,date,sex,age,ethnicity,population
Johor,1/1/2025,both,0-4,bumi_malay,182.8
Johor,1/1/2025,both,0-4,bumi_other,6.2
Johor,1/1/2025,both,0-4,chinese,44
Johor,1/1/2025,both,0-4,indian,13.7
Johor,1/1/2025,both,0-4,other_citizen,2.5
Johor,1/1/2025,both,0-4,other_noncitizen,2.5
Johor,1/1/2025,both,5-9,bumi_malay,196.1
Johor,1/1/2025,both,5-9,bumi_other,5.6
Johor,1/1/2025,both,5-9,chinese,82.7
Johor,1/1/2025,both,5-9,indian,18.2
Johor,1/1/2025,both,5-9,other_citizen,1.2
Johor,1/1/2025,both,5-9,other_noncitizen,2.3
Johor,1/1/2025,both,10-14,bumi_malay,197.6
Johor,1/1/2025,both,10-14,bumi_other,5.3
Johor,1/1/2025,both,10-14,chinese,95.5
Johor,1/1/2025,both,10-14,indian,20.6
Johor,1/1/2025,both,10-14,other_citizen,1.1
Johor,1/1/2025,both,10-14,other_noncitizen,1.6
Johor,1/1/2025,both,15-19,bumi_malay,197.5
Johor,1/1/2025,both,15-19,bumi_other,5.2
Johor,1/1/2025,both,15-19,chinese,102.5
Johor,1/1/2025,both,15-19,indian,22.1
Johor,1/1/2025,both,15-19,other_citizen,1.1
Johor,1/1/2025,both,15-19,other_noncitizen,18.6
Johor,1/1/2025,both,20-24,bumi_malay,198.4
Johor,1/1/2025,both,20-24,bumi_other,5.9
Johor,1/1/2025,both,20-24,chinese,98.2
Johor,1/1/2025,both,20-24,indian,21
Johor,1/1/2025,both,20-24,other_citizen,4.1
Johor,1/1/2025,both,20-24,other_noncitizen,77.9
Johor,1/1/2025,both,25-29,bumi_malay,192.9
Johor,1/1/2025,both,25-29,bumi_other,3.9
Johor,1/1/2025,both,25-29,chinese,102.6
Johor,1/1/2025,both,25-29,indian,20.4
Johor,1/1/2025,both,25-29,other_citizen,2.4
Johor,1/1/2025,both,25-29,other_noncitizen,82.5
Johor,1/1/2025,both,30-34,bumi_malay,173.1
Johor,1/1/2025,both,30-34,bumi_other,3
Johor,1/1/2025,both,30-34,chinese,96
Johor,1/1/2025,both,30-34,indian,19.4
Johor,1/1/2025,both,30-34,other_citizen,1
Johor,1/1/2025,both,30-34,other_noncitizen,55.9
Johor,1/1/2025,both,35-39,bumi_malay,174.9
Johor,1/1/2025,both,35-39,bumi_other,4.8
Johor,1/1/2025,both,35-39,chinese,90.9
Johor,1/1/2025,both,35-39,indian,17.4
Johor,1/1/2025,both,35-39,other_citizen,0.9
Johor,1/1/2025,both,35-39,other_noncitizen,39.1
Johor,1/1/2025,both,40-44,bumi_malay,165.5
Johor,1/1/2025,both,40-44,bumi_other,5.9
Johor,1/1/2025,both,40-44,chinese,89.9
Johor,1/1/2025,both,40-44,indian,20.1
Johor,1/1/2025,both,40-44,other_citizen,0.5
Johor,1/1/2025,both,40-44,other_noncitizen,26.1
Johor,1/1/2025,both,45-49,bumi_malay,126.2
Johor,1/1/2025,both,45-49,bumi_other,4.3
Johor,1/1/2025,both,45-49,chinese,83.9
Johor,1/1/2025,both,45-49,indian,18.1
Johor,1/1/2025,both,45-49,other_citizen,1.4
Johor,1/1/2025,both,45-49,other_noncitizen,18.8
Johor,1/1/2025,both,50-54,bumi_malay,112.8
