state,district,date,sex,age,ethnicity,population
Johor,Batu Pahat,1/1/2022,both,overall,overall,497.5
Johor,Johor Bahru,1/1/2022,both,overall,overall,1723.7
Johor,Kluang,1/1/2022,both,overall,overall,323.5
Johor,Kota Tinggi,1/1/2022,both,overall,overall,224.9
Johor,Kulai,1/1/2022,both,overall,overall,329.2
Johor,Mersing,1/1/2022,both,overall,overall,79.1
Johor,Muar,1/1/2022,both,overall,overall,314
Johor,Pontian,1/1/2022,both,overall,overall,173.6
Johor,Segamat,1/1/2022,both,overall,overall,198.2
Johor,Tangkak,1/1/2022,both,overall,overall,164.6
Kedah,Baling,1/1/2022,both,overall,overall,144.9
Kedah,Bandar Baharu,1/1/2022,both,overall,overall,44.7
Kedah,Kota Setar,1/1/2022,both,overall,overall,376.8
Kedah,Kuala Muda,1/1/2022,both,overall,overall,550.5
Kedah,Kubang Pasu,1/1/2022,both,overall,overall,249.7
Kedah,Kulim,1/1/2022,both,overall,overall,341.3
Kedah,Langkawi,1/1/2022,both,overall,overall,96.4
Kedah,Padang Terap,1/1/2022,both,overall,overall,66.5
Kedah,Pendang,1/1/2022,both,overall,overall,99.8
Kedah,Pokok Sena,1/1/2022,both,overall,overall,50
Kedah,Sik,1/1/2022,both,overall,overall,68.6
Kedah,Yan,1/1/2022,both,overall,overall,73.8
Kelantan,Bachok,1/1/2022,both,overall,overall,160.7
Kelantan,Gua Musang,1/1/2022,both,overall,overall,104
Kelantan,Jeli,1/1/2022,both,overall,overall,56.1
Kelantan,Kecil Lojing,1/1/2022,both,overall,overall,10.8
Kelantan,Kota Bharu,1/1/2022,both,overall,overall,567.5
Kelantan,Kuala Krai,1/1/2022,both,overall,overall,107.1
Kelantan,Machang,1/1/2022,both,overall,overall,113.9
Kelantan,Pasir Mas,1/1/2022,both,overall,overall,234.2
Kelantan,Pasir Puteh,1/1/2022,both,overall,overall,138.9
Kelantan,Tanah Merah,1/1/2022,both,overall,overall,153.7
Kelantan,Tumpat,1/1/2022,both,overall,overall,183.7
Melaka,Alor Gajah,1/1/2022,both,overall,overall,251.8
Melaka,Jasin,1/1/2022,both,overall,overall,153.9
Melaka,Melaka Tengah,1/1/2022,both,overall,overall,602.8
Negeri Sembilan,Jelebu,1/1/2022,both,overall,overall,46.3
Negeri Sembilan,Jempol,1/1/2022,both,overall,overall,127.6
Negeri Sembilan,Kuala Pilah,1/1/2022,both,overall,overall,70.4
Negeri Sembilan,Port Dickson,1/1/2022,both,overall,overall,130.1
Negeri Sembilan,Rembau,1/1/2022,both,overall,overall,47.8
Negeri Sembilan,Seremban,1/1/2022,both,overall,overall,696.9
Negeri Sembilan,Tampin,1/1/2022,both,overall,overall,88.8
Pahang,Bentong,1/1/2022,both,overall,overall,116.7
Pahang,Bera,1/1/2022,both,overall,overall,98.9
Pahang,Cameron Highlands,1/1/2022,both,overall,overall,39.2
Pahang,Jerantut,1/1/2022,both,overall,overall,97
Pahang,Kuantan,1/1/2022,both,overall,overall,557.9
Pahang,Lipis,1/1/2022,both,overall,overall,97.9
Pahang,Maran,1/1/2022,both,overall,overall,114.7
Pahang,Pekan,1/1/2022,both,overall,overall,123.5
Pahang,Raub,1/1/2022,both,overall,overall,96.8
Pahang,Rompin,1/1/2022,both,overall,overall,100.4
Pahang,Temerloh,1/1/2022,both,overall,overall,171.4
Perak,Bagan Datuk,1/1/2022,both,overall,overall,82.3
Perak,Batang Padang,1/1/2022,both,overall,overall,125.7
Perak,Hilir Perak,1/1/2022,both,overall,overall,142.3
Perak,Hulu Perak,1/1/2022,both,overall,overall,95.9
Perak,Kampar,1/1/2022,both,overall,overall,98.2
Perak,Kerian,1/1/2022,both,overall,overall,167.5
Perak,Kinta,1/1/2022,both,overall,overall,895.8
Perak,Kuala Kangsar,1/1/2022,both,overall,overall,176.7
Perak,Larut Dan Matang,1/1/2022,both,overall,overall,272.6
Perak,Manjung,1/1/2022,both,overall,overall,249.6
Perak,Muallim,1/1/2022,both,overall,overall,78
Perak,Perak Tengah,1/1/2022,both,overall,overall,95.6
Perak,Selama,1/1/2022,both,overall,overall,34.5
Perlis,Perlis,1/1/2022,both,overall,overall,289.8
Pulau Pinang,Barat Daya,1/1/2022,both,overall,overall,239.6
Pulau Pinang,Seberang Perai Selatan,1/1/2022,both,overall,overall,185.5
Pulau Pinang,Seberang Perai Tengah,1/1/2022,both,overall,overall,422.8
Pulau Pinang,Seberang Perai Utara,1/1/2022,both,overall,overall,341.3
Pulau Pinang,Timur Laut,1/1/2022,both,overall,overall,551.8
Sabah,Beaufort,1/1/2022,both,overall,overall,76.1
Sabah,Beluran,1/1/2022,both,overall,overall,76.3
Sabah,Kalabakan,1/1/2022,both,overall,overall,46.6
Sabah,Keningau,1/1/2022,both,overall,overall,153.2
Sabah,Kinabatangan,1/1/2022,both,overall,overall,138.1
Sabah,Kota Belud,1/1/2022,both,overall,overall,108.3
Sabah,Kota Kinabalu,1/1/2022,both,overall,overall,500.8
Sabah,Kota Marudu,1/1/2022,both,overall,overall,71.1
Sabah,Kuala Penyu,1/1/2022,both,overall,overall,23.7
Sabah,Kudat,1/1/2022,both,overall,overall,87.3
Sabah,Kunak,1/1/2022,both,overall,overall,67.8
Sabah,Lahad Datu,1/1/2022,both,overall,overall,226.9
Sabah,Nabawan,1/1/2022,both,overall,overall,29.2
Sabah,Papar,1/1/2022,both,overall,overall,152.6
Sabah,Penampang,1/1/2022,both,overall,overall,163.2
Sabah,Pitas,1/1/2022,both,overall,overall,37.3
Sabah,Putatan,1/1/2022,both,overall,overall,69.2
Sabah,Ranau,1/1/2022,both,overall,overall,86.3
Sabah,Sandakan,1/1/2022,both,overall,overall,435.3
Sabah,Semporna,1/1/2022,both,overall,overall,165.4
Sabah,Sipitang,1/1/2022,both,overall,overall,38.1
Sabah,Tambunan,1/1/2022,both,overall,overall,32.1
Sabah,Tawau,1/1/2022,both,overall,overall,369.6
Sabah,Telupid,1/1/2022,both,overall,overall,28.9
Sabah,Tenom,1/1/2022,both,overall,overall,52
Sabah,Tongod,1/1/2022,both,overall,overall,42.2
Sabah,Tuaran,1/1/2022,both,overall,overall,137.1
Sarawak,Asajaya,1/1/2022,both,overall,overall,34.1
Sarawak,Bau,1/1/2022,both,overall,overall,53.1
Sarawak,Belaga,1/1/2022,both,overall,overall,22.6
Sarawak,Beluru,1/1/2022,both,overall,overall,28
Sarawak,Betong,1/1/2022,both,overall,overall,36.5
Sarawak,Bintulu,1/1/2022,both,overall,overall,179.7
Sarawak,Bukit Mabong,1/1/2022,both,overall,overall,10.4
Sarawak,Dalat,1/1/2022,both,overall,overall,21.2
Sarawak,Daro,1/1/2022,both,overall,overall,19.6
Sarawak,Julau,1/1/2022,both,overall,overall,15.4
Sarawak,Kabong,1/1/2022,both,overall,overall,18.6
Sarawak,Kanowit,1/1/2022,both,overall,overall,24.6
Sarawak,Kapit,1/1/2022,both,overall,overall,36.2
Sarawak,Kuching,1/1/2022,both,overall,overall,615.8
Sarawak,Lawas,1/1/2022,both,overall,overall,37.2
Sarawak,Limbang,1/1/2022,both,overall,overall,45.6
Sarawak,Lubok Antu,1/1/2022,both,overall,overall,24.6
Sarawak,Lundu,1/1/2022,both,overall,overall,33.8
Sarawak,Maradong,1/1/2022,both,overall,overall,20.5
Sarawak,Marudi,1/1/2022,both,overall,overall,18.8
Sarawak,Matu,1/1/2022,both,overall,overall,16.4
Sarawak,Miri,1/1/2022,both,overall,overall,251.2
Sarawak,Mukah,1/1/2022,both,overall,overall,42.5
Sarawak,Pakan,1/1/2022,both,overall,overall,15.6
Sarawak,Pusa,1/1/2022,both,overall,overall,19.7
Sarawak,Samarahan,1/1/2022,both,overall,overall,133.5
Sarawak,Saratok,1/1/2022,both,overall,overall,23.1
Sarawak,Sarikei,1/1/2022,both,overall,overall,44.4
Sarawak,Sebauh,1/1/2022,both,overall,overall,29.1
Sarawak,Selangau,1/1/2022,both,overall,overall,19.9
Sarawak,Serian,1/1/2022,both,overall,overall,86
Sarawak,Sibu,1/1/2022,both,overall,overall,249
Sarawak,Simunjan,1/1/2022,both,overall,overall,36.5
Sarawak,Song,1/1/2022,both,overall,overall,10
Sarawak,Sri Aman,1/1/2022,both,overall,overall,61.1
Sarawak,Subis,1/1/2022,both,overall,overall,56.6
Sarawak,Tanjung Manis,1/1/2022,both,overall,overall,7.9
Sarawak,Tatau,1/1/2022,both,overall,overall,32
Sarawak,Tebedu,1/1/2022,both,overall,overall,25.3
Sarawak,Telang Usan,1/1/2022,both,overall,overall,17.4
Selangor,Gombak,1/1/2022,both,overall,overall,950.2
Selangor,Klang,1/1/2022,both,overall,overall,1094.1
Selangor,Kuala Langat,1/1/2022,both,overall,overall,314.5
Selangor,Kuala Selangor,1/1/2022,both,overall,overall,287.6
Selangor,Petaling,1/1/2022,both,overall,overall,2304.8
Selangor,Sabak Bernam,1/1/2022,both,overall,overall,107.9
Selangor,Sepang,1/1/2022,both,overall,overall,331.5
Selangor,Ulu Langat,1/1/2022,both,overall,overall,1413.3
Selangor,Ulu Selangor,1/1/2022,both,overall,overall,246.4
Terengganu,Besut,1/1/2022,both,overall,overall,159.3
Terengganu,Dungun,1/1/2022,both,overall,overall,162.5
Terengganu,Hulu Terengganu,1/1/2022,both,overall,overall,72.3
Terengganu,Kemaman,1/1/2022,both,overall,overall,221.7
Terengganu,Kuala Nerus,1/1/2022,both,overall,overall,151.1
