state,district,date,sex,age,population
Johor,Batu Pahat,1/1/2022,female,0-4,14.4
Johor,Batu Pahat,1/1/2022,female,0-4,10.8
Johor,Batu Pahat,1/1/2022,female,0-4,0.2
Johor,Batu Pahat,1/1/2022,female,0-4,3.2
Johor,Batu Pahat,1/1/2022,female,0-4,0.2
Johor,Batu Pahat,1/1/2022,female,0-4,0
Johor,Batu Pahat,1/1/2022,female,0-4,0
Johor,Batu Pahat,1/1/2022,female,5-9,16.8
Johor,Batu Pahat,1/1/2022,female,5-9,11.5
Johor,Batu Pahat,1/1/2022,female,5-9,0.1
Johor,Batu Pahat,1/1/2022,female,5-9,4.9
Johor,Batu Pahat,1/1/2022,female,5-9,0.2
Johor,Batu Pahat,1/1/2022,female,5-9,0
Johor,Batu Pahat,1/1/2022,female,5-9,0
Johor,Batu Pahat,1/1/2022,female,10-14,18.8
Johor,Batu Pahat,1/1/2022,female,10-14,12.8
Johor,Batu Pahat,1/1/2022,female,10-14,0.1
Johor,Batu Pahat,1/1/2022,female,10-14,5.6
Johor,Batu Pahat,1/1/2022,female,10-14,0.2
Johor,Batu Pahat,1/1/2022,female,10-14,0
Johor,Batu Pahat,1/1/2022,female,10-14,0
Johor,Batu Pahat,1/1/2022,female,15-19,20.2
Johor,Batu Pahat,1/1/2022,female,15-19,14
Johor,Batu Pahat,1/1/2022,female,15-19,0.2
Johor,Batu Pahat,1/1/2022,female,15-19,5.5
Johor,Batu Pahat,1/1/2022,female,15-19,0.3
Johor,Batu Pahat,1/1/2022,female,15-19,0.1
Johor,Batu Pahat,1/1/2022,female,15-19,0.2
Johor,Batu Pahat,1/1/2022,female,20-24,22.2
Johor,Batu Pahat,1/1/2022,female,20-24,14.8
Johor,Batu Pahat,1/1/2022,female,20-24,0.2
Johor,Batu Pahat,1/1/2022,female,20-24,5.9
Johor,Batu Pahat,1/1/2022,female,20-24,0.3
Johor,Batu Pahat,1/1/2022,female,20-24,0.1
Johor,Batu Pahat,1/1/2022,female,20-24,0.7
Johor,Batu Pahat,1/1/2022,female,25-29,20
Johor,Batu Pahat,1/1/2022,female,25-29,13.2
Johor,Batu Pahat,1/1/2022,female,25-29,0.2
Johor,Batu Pahat,1/1/2022,female,25-29,5.7
