state,district,date,sex,age,ethnicity,population
Johor,Batu Pahat,1/1/2022,female,0-4,overall,14.4
Johor,Batu Pahat,1/1/2022,female,5-9,overall,16.8
Johor,Batu Pahat,1/1/2022,female,10-14,overall,18.8
Johor,Batu Pahat,1/1/2022,female,15-19,overall,20.2
Johor,Batu Pahat,1/1/2022,female,20-24,overall,22.2
Johor,Batu Pahat,1/1/2022,female,25-29,overall,20
Johor,Batu Pahat,1/1/2022,female,30-34,overall,19.4
Johor,Batu Pahat,1/1/2022,female,35-39,overall,19.1
Johor,Batu Pahat,1/1/2022,female,40-44,overall,16.5
Johor,Batu Pahat,1/1/2022,female,45-49,overall,14.2
Johor,Batu Pahat,1/1/2022,female,50-54,overall,13.7
Johor,Batu Pahat,1/1/2022,female,55-59,overall,12.2
Johor,Batu Pahat,1/1/2022,female,60-64,overall,10.6
Johor,Batu Pahat,1/1/2022,female,65-69,overall,7.7
Johor,Batu Pahat,1/1/2022,female,70-74,overall,4.8
Johor,Batu Pahat,1/1/2022,female,75-79,overall,2.9
Johor,Batu Pahat,1/1/2022,female,80-84,overall,1.6
Johor,Batu Pahat,1/1/2022,female,85+,overall,0.9
Johor,Batu Pahat,1/1/2022,male,0-4,overall,14.6
Johor,Batu Pahat,1/1/2022,male,5-9,overall,17.4
Johor,Batu Pahat,1/1/2022,male,10-14,overall,20.4
Johor,Batu Pahat,1/1/2022,male,15-19,overall,22
Johor,Batu Pahat,1/1/2022,male,20-24,overall,27.5
Johor,Batu Pahat,1/1/2022,male,25-29,overall,25.7
Johor,Batu Pahat,1/1/2022,male,30-34,overall,23.2
Johor,Batu Pahat,1/1/2022,male,35-39,overall,21.8
Johor,Batu Pahat,1/1/2022,male,40-44,overall,18.6
Johor,Batu Pahat,1/1/2022,male,45-49,overall,15.7
Johor,Batu Pahat,1/1/2022,male,50-54,overall,13.9
Johor,Batu Pahat,1/1/2022,male,55-59,overall,12.8
Johor,Batu Pahat,1/1/2022,male,60-64,overall,10.7
Johor,Batu Pahat,1/1/2022,male,65-69,overall,7.2
Johor,Batu Pahat,1/1/2022,male,70-74,overall,4.7
Johor,Batu Pahat,1/1/2022,male,75-79,overall,2.6
Johor,Batu Pahat,1/1/2022,male,80-84,overall,1.5
Johor,Batu Pahat,1/1/2022,male,85+,overall,1.3
Johor,Johor Bahru,1/1/2022,female,0-4,overall,69.3
Johor,Johor Bahru,1/1/2022,female,5-9,overall,73.8
Johor,Johor Bahru,1/1/2022,female,10-14,overall,71.7
Johor,Johor Bahru,1/1/2022,female,15-19,overall,65
Johor,Johor Bahru,1/1/2022,female,20-24,overall,71.4
Johor,Johor Bahru,1/1/2022,female,25-29,overall,64.9
Johor,Johor Bahru,1/1/2022,female,30-34,overall,61.6
Johor,Johor Bahru,1/1/2022,female,35-39,overall,60.1
Johor,Johor Bahru,1/1/2022,female,40-44,overall,53.5
Johor,Johor Bahru,1/1/2022,female,45-49,overall,46.5
Johor,Johor Bahru,1/1/2022,female,50-54,overall,44.5
Johor,Johor Bahru,1/1/2022,female,55-59,overall,39
Johor,Johor Bahru,1/1/2022,female,60-64,overall,34.1
Johor,Johor Bahru,1/1/2022,female,65-69,overall,24.5
Johor,Johor Bahru,1/1/2022,female,70-74,overall,15.2
Johor,Johor Bahru,1/1/2022,female,75-79,overall,9.4
Johor,Johor Bahru,1/1/2022,female,80-84,overall,5.6
Johor,Johor Bahru,1/1/2022,female,85+,overall,4
Johor,Johor Bahru,1/1/2022,male,0-4,overall,68.3
Johor,Johor Bahru,1/1/2022,male,5-9,overall,77.6
Johor,Johor Bahru,1/1/2022,male,10-14,overall,76.9
Johor,Johor Bahru,1/1/2022,male,15-19,overall,72.2
Johor,Johor Bahru,1/1/2022,male,20-24,overall,89.2
Johor,Johor Bahru,1/1/2022,male,25-29,overall,83.5
Johor,Johor Bahru,1/1/2022,male,30-34,overall,74.8
Johor,Johor Bahru,1/1/2022,male,35-39,overall,71.1
Johor,Johor Bahru,1/1/2022,male,40-44,overall,61.8
Johor,Johor Bahru,1/1/2022,male,45-49,overall,53
Johor,Johor Bahru,1/1/2022,male,50-54,overall,46.3
Johor,Johor Bahru,1/1/2022,male,55-59,overall,42.5
Johor,Johor Bahru,1/1/2022,male,60-64,overall,35.5
Johor,Johor Bahru,1/1/2022,male,65-69,overall,23.4
Johor,Johor Bahru,1/1/2022,male,70-74,overall,14.5
Johor,Johor Bahru,1/1/2022,male,75-79,overall,8.7
Johor,Johor Bahru,1/1/2022,male,80-84,overall,5.3
Johor,Johor Bahru,1/1/2022,male,85+,overall,5
Johor,Kluang,1/1/2022,female,0-4,overall,9.3
Johor,Kluang,1/1/2022,female,5-9,overall,11.7
Johor,Kluang,1/1/2022,female,10-14,overall,14.6
Johor,Kluang,1/1/2022,female,15-19,overall,12.8
Johor,Kluang,1/1/2022,female,20-24,overall,13.2
Johor,Kluang,1/1/2022,female,25-29,overall,12
Johor,Kluang,1/1/2022,female,30-34,overall,11.5
Johor,Kluang,1/1/2022,female,35-39,overall,11.3
Johor,Kluang,1/1/2022,female,40-44,overall,10
Johor,Kluang,1/1/2022,female,45-49,overall,8.6
Johor,Kluang,1/1/2022,female,50-54,overall,8.3
Johor,Kluang,1/1/2022,female,55-59,overall,7.3
Johor,Kluang,1/1/2022,female,60-64,overall,6.3
Johor,Kluang,1/1/2022,female,65-69,overall,4.1
Johor,Kluang,1/1/2022,female,70-74,overall,2.4
Johor,Kluang,1/1/2022,female,75-79,overall,1.4
Johor,Kluang,1/1/2022,female,80-84,overall,0.8
Johor,Kluang,1/1/2022,female,85+,overall,0.4
