state,district,date,sex,age,ethnicity,population
Johor,Batu Pahat,1/1/2022,both,overall,bumi_malay,316.9
Johor,Batu Pahat,1/1/2022,both,overall,bumi_other,4.5
Johor,Batu Pahat,1/1/2022,both,overall,chinese,140.2
Johor,Batu Pahat,1/1/2022,both,overall,indian,6.9
Johor,Batu Pahat,1/1/2022,both,overall,other_citizen,1.8
Johor,Batu Pahat,1/1/2022,both,overall,other_noncitizen,27.2
Johor,Johor Bahru,1/1/2022,both,overall,bumi_malay,816.3
Johor,Johor Bahru,1/1/2022,both,overall,bumi_other,31.9
Johor,Johor Bahru,1/1/2022,both,overall,chinese,608.6
Johor,Johor Bahru,1/1/2022,both,overall,indian,145.4
Johor,Johor Bahru,1/1/2022,both,overall,other_citizen,10.5
Johor,Johor Bahru,1/1/2022,both,overall,other_noncitizen,111
Johor,Kluang,1/1/2022,both,overall,bumi_malay,170.3
Johor,Kluang,1/1/2022,both,overall,bumi_other,4.6
Johor,Kluang,1/1/2022,both,overall,chinese,91.9
Johor,Kluang,1/1/2022,both,overall,indian,24.7
Johor,Kluang,1/1/2022,both,overall,other_citizen,1.4
Johor,Kluang,1/1/2022,both,overall,other_noncitizen,30.4
Johor,Kota Tinggi,1/1/2022,both,overall,bumi_malay,184.3
Johor,Kota Tinggi,1/1/2022,both,overall,bumi_other,3.3
Johor,Kota Tinggi,1/1/2022,both,overall,chinese,18.5
Johor,Kota Tinggi,1/1/2022,both,overall,indian,5.5
Johor,Kota Tinggi,1/1/2022,both,overall,other_citizen,0.8
Johor,Kota Tinggi,1/1/2022,both,overall,other_noncitizen,12.4
Johor,Kulai,1/1/2022,both,overall,bumi_malay,155.3
Johor,Kulai,1/1/2022,both,overall,bumi_other,3.9
Johor,Kulai,1/1/2022,both,overall,chinese,95.6
Johor,Kulai,1/1/2022,both,overall,indian,30.4
Johor,Kulai,1/1/2022,both,overall,other_citizen,1.5
Johor,Kulai,1/1/2022,both,overall,other_noncitizen,42.5
Johor,Mersing,1/1/2022,both,overall,bumi_malay,64.3
Johor,Mersing,1/1/2022,both,overall,bumi_other,2.9
Johor,Mersing,1/1/2022,both,overall,chinese,7.1
Johor,Mersing,1/1/2022,both,overall,indian,0.9
Johor,Mersing,1/1/2022,both,overall,other_citizen,0.2
Johor,Mersing,1/1/2022,both,overall,other_noncitizen,3.7
Johor,Muar,1/1/2022,both,overall,bumi_malay,175.6
Johor,Muar,1/1/2022,both,overall,bumi_other,1.4
Johor,Muar,1/1/2022,both,overall,chinese,100.4
Johor,Muar,1/1/2022,both,overall,indian,5.4
Johor,Muar,1/1/2022,both,overall,other_citizen,0.6
Johor,Muar,1/1/2022,both,overall,other_noncitizen,30.5
Johor,Pontian,1/1/2022,both,overall,bumi_malay,115.5
Johor,Pontian,1/1/2022,both,overall,bumi_other,1.6
Johor,Pontian,1/1/2022,both,overall,chinese,42.4
Johor,Pontian,1/1/2022,both,overall,indian,1.4
Johor,Pontian,1/1/2022,both,overall,other_citizen,0.7
Johor,Pontian,1/1/2022,both,overall,other_noncitizen,12
Johor,Segamat,1/1/2022,both,overall,bumi_malay,105.9
Johor,Segamat,1/1/2022,both,overall,bumi_other,3
Johor,Segamat,1/1/2022,both,overall,chinese,62.7
Johor,Segamat,1/1/2022,both,overall,indian,15.7
Johor,Segamat,1/1/2022,both,overall,other_citizen,0.6
Johor,Segamat,1/1/2022,both,overall,other_noncitizen,10.5
Johor,Tangkak,1/1/2022,both,overall,bumi_malay,104.1
Johor,Tangkak,1/1/2022,both,overall,bumi_other,1.2
Johor,Tangkak,1/1/2022,both,overall,chinese,42.8
Johor,Tangkak,1/1/2022,both,overall,indian,8.4
Johor,Tangkak,1/1/2022,both,overall,other_citizen,0.8
Johor,Tangkak,1/1/2022,both,overall,other_noncitizen,7.3
Kedah,Baling,1/1/2022,both,overall,bumi_malay,130.7
Kedah,Baling,1/1/2022,both,overall,bumi_other,0.5
Kedah,Baling,1/1/2022,both,overall,chinese,4.2
Kedah,Baling,1/1/2022,both,overall,indian,4.5
Kedah,Baling,1/1/2022,both,overall,other_citizen,2.3
Kedah,Baling,1/1/2022,both,overall,other_noncitizen,2.8
Kedah,Bandar Baharu,1/1/2022,both,overall,bumi_malay,36.5
Kedah,Bandar Baharu,1/1/2022,both,overall,bumi_other,0.1
Kedah,Bandar Baharu,1/1/2022,both,overall,chinese,4.1
Kedah,Bandar Baharu,1/1/2022,both,overall,indian,2.6
Kedah,Bandar Baharu,1/1/2022,both,overall,other_citizen,0.1
Kedah,Bandar Baharu,1/1/2022,both,overall,other_noncitizen,1.2
Kedah,Kota Setar,1/1/2022,both,overall,bumi_malay,272.4
Kedah,Kota Setar,1/1/2022,both,overall,bumi_other,0.5
Kedah,Kota Setar,1/1/2022,both,overall,chinese,83.1
Kedah,Kota Setar,1/1/2022,both,overall,indian,7.3
Kedah,Kota Setar,1/1/2022,both,overall,other_citizen,1.2
Kedah,Kota Setar,1/1/2022,both,overall,other_noncitizen,12.3
Kedah,Kuala Muda,1/1/2022,both,overall,bumi_malay,372.4
Kedah,Kuala Muda,1/1/2022,both,overall,bumi_other,1.4
Kedah,Kuala Muda,1/1/2022,both,overall,chinese,82.7
Kedah,Kuala Muda,1/1/2022,both,overall,indian,58.3
Kedah,Kuala Muda,1/1/2022,both,overall,other_citizen,2.2
Kedah,Kuala Muda,1/1/2022,both,overall,other_noncitizen,33.5
Kedah,Kubang Pasu,1/1/2022,both,overall,bumi_malay,219.2
Kedah,Kubang Pasu,1/1/2022,both,overall,bumi_other,0.8
Kedah,Kubang Pasu,1/1/2022,both,overall,chinese,14.9
Kedah,Kubang Pasu,1/1/2022,both,overall,indian,4.9
Kedah,Kubang Pasu,1/1/2022,both,overall,other_citizen,3.3
Kedah,Kubang Pasu,1/1/2022,both,overall,other_noncitizen,6.6
Kedah,Kulim,1/1/2022,both,overall,bumi_malay,225.6
Kedah,Kulim,1/1/2022,both,overall,bumi_other,0.7
Kedah,Kulim,1/1/2022,both,overall,chinese,47.1
Kedah,Kulim,1/1/2022,both,overall,indian,47.9
Kedah,Kulim,1/1/2022,both,overall,other_citizen,1.5
Kedah,Kulim,1/1/2022,both,overall,other_noncitizen,18.5
Kedah,Langkawi,1/1/2022,both,overall,bumi_malay,84.8
Kedah,Langkawi,1/1/2022,both,overall,bumi_other,0.3
Kedah,Langkawi,1/1/2022,both,overall,chinese,4.6
Kedah,Langkawi,1/1/2022,both,overall,indian,1.7
Kedah,Langkawi,1/1/2022,both,overall,other_citizen,1
Kedah,Langkawi,1/1/2022,both,overall,other_noncitizen,3.9
Kedah,Padang Terap,1/1/2022,both,overall,bumi_malay,58.2
Kedah,Padang Terap,1/1/2022,both,overall,bumi_other,0.1
Kedah,Padang Terap,1/1/2022,both,overall,chinese,0.5
Kedah,Padang Terap,1/1/2022,both,overall,indian,0
Kedah,Padang Terap,1/1/2022,both,overall,other_citizen,4.6
