state,district,date,poverty_absolute,poverty_relative
Johor,Batu Pahat,1/1/2022,5.1,19.4
Johor,Johor Bahru,1/1/2022,3.7,10.4
Johor,Kluang,1/1/2022,7.2,27.4
Johor,Kota Tinggi,1/1/2022,5,17
Johor,Kulai,1/1/2022,0.4,7.4
Johor,Mersing,1/1/2022,12.7,33.1
Johor,Muar,1/1/2022,6.1,23.5
Johor,Pontian,1/1/2022,5.1,21.1
Johor,Segamat,1/1/2022,7.4,23.3
Johor,Tangkak,1/1/2022,6.9,28.2
Kedah,Baling,1/1/2022,14.4,19.7
Kedah,Bandar Baharu,1/1/2022,3.9,14.5
Kedah,Kota Setar,1/1/2022,5.1,9.5
Kedah,Kuala Muda,1/1/2022,13.8,15.7
Kedah,Kubang Pasu,1/1/2022,3.3,6.1
Kedah,Kulim,1/1/2022,11.4,11.3
Kedah,Langkawi,1/1/2022,5.7,5.5
Kedah,Padang Terap,1/1/2022,8.9,11.3
Kedah,Pendang,1/1/2022,7.3,12.5
Kedah,Pokok Sena,1/1/2022,7.2,9.2
Kedah,Sik,1/1/2022,4,9.4
Kedah,Yan,1/1/2022,6,12.4
Kelantan,Bachok,1/1/2022,12.1,10.4
Kelantan,Gua Musang,1/1/2022,18.5,12
Kelantan,Jeli,1/1/2022,11.3,17.9
Kelantan,Kota Bharu,1/1/2022,10.5,7.5
Kelantan,Kuala Krai,1/1/2022,22.4,30.6
Kelantan,Machang,1/1/2022,12,14.6
Kelantan,Pasir Mas,1/1/2022,9,10.9
Kelantan,Pasir Puteh,1/1/2022,15.9,12.3
Kelantan,Tanah Merah,1/1/2022,17.9,14.7
Kelantan,Tumpat,1/1/2022,13.5,11.2
Melaka,Alor Gajah,1/1/2022,4.8,14.1
Melaka,Jasin,1/1/2022,5.5,16
Melaka,Melaka Tengah,1/1/2022,3.7,12.2
Negeri Sembilan,Jelebu,1/1/2022,7.3,29.9
Negeri Sembilan,Jempol,1/1/2022,8,21.8
Negeri Sembilan,Kuala Pilah,1/1/2022,6.8,31.5
Negeri Sembilan,Port Dickson,1/1/2022,4.9,13.8
Negeri Sembilan,Rembau,1/1/2022,3,19
Negeri Sembilan,Seremban,1/1/2022,3,7.5
Negeri Sembilan,Tampin,1/1/2022,7.3,21.5
Pahang,Bentong,1/1/2022,2.8,0
Pahang,Bera,1/1/2022,8.5,10
Pahang,Cameron Highlands,1/1/2022,1.9,0
Pahang,Jerantut,1/1/2022,8.6,15.3
Pahang,Kuantan,1/1/2022,4.1,5
Pahang,Lipis,1/1/2022,9.2,8.6
Pahang,Maran,1/1/2022,8.8,12.1
Pahang,Pekan,1/1/2022,11.6,15.4
Pahang,Raub,1/1/2022,2.3,1.1
Pahang,Rompin,1/1/2022,12,14.9
Pahang,Temerloh,1/1/2022,6.6,8.7
Perak,Bagan Datuk,1/1/2022,12.4,19.8
Perak,Batang Padang,1/1/2022,13.3,18.1
Perak,Hilir Perak,1/1/2022,14.8,22.3
Perak,Hulu Perak,1/1/2022,16.3,18.5
Perak,Kampar,1/1/2022,4.7,10.3
Perak,Kerian,1/1/2022,8.7,18.9
Perak,Kinta,1/1/2022,3.8,9.4
Perak,Kuala Kangsar,1/1/2022,13,17.2
Perak,Larut dan Matang,1/1/2022,9.2,14.4
Perak,Manjung,1/1/2022,3.8,11.1
Perak,Muallim,1/1/2022,9.2,14.8
Perak,Perak Tengah,1/1/2022,11.1,17.3
Perak,Selama,1/1/2022,5.3,18.9
Perlis,Perlis,1/1/2022,4,12.6
Pulau Pinang,Barat Daya,1/1/2022,1.4,9
Pulau Pinang,Seberang Perai Selatan,1/1/2022,3.1,18.2
Pulau Pinang,Seberang Perai Tengah,1/1/2022,2.4,16.6
Pulau Pinang,Seberang Perai Utara,1/1/2022,3.7,18.7
Pulau Pinang,Timur Laut,1/1/2022,0.7,14.5
Sabah,Beaufort,1/1/2022,19.8,13.8
Sabah,Beluran,1/1/2022,37.7,29.1
Sabah,Keningau,1/1/2022,18.8,10.3
Sabah,Kinabatangan,1/1/2022,28.9,18.2
Sabah,Kota Belud,1/1/2022,27.8,29.8
Sabah,Kota Kinabalu,1/1/2022,10.3,8
Sabah,Kota Marudu,1/1/2022,49.9,38.4
Sabah,Kuala Penyu,1/1/2022,17.6,20.6
Sabah,Kudat,1/1/2022,34.7,32.5
Sabah,Kunak,1/1/2022,25.4,13.9
Sabah,Lahad Datu,1/1/2022,23.5,14.6
Sabah,Nabawan,1/1/2022,27.1,10.4
Sabah,Papar,1/1/2022,16.2,10.5
Sabah,Penampang,1/1/2022,6.7,5.6
Sabah,Pitas,1/1/2022,52.7,46.7
Sabah,Putatan,1/1/2022,12.9,7.9
Sabah,Ranau,1/1/2022,25.4,21.1
Sabah,Sandakan,1/1/2022,17.7,10
Sabah,Semporna,1/1/2022,28,16.9
Sabah,Sipitang,1/1/2022,22.1,15.1
Sabah,Tambunan,1/1/2022,9,13.5
Sabah,Tawau,1/1/2022,14.4,12.5
Sabah,Telupid,1/1/2022,20.8,16.7
Sabah,Tenom,1/1/2022,15.8,12.4
Sabah,Tongod,1/1/2022,50.8,23.7
Sabah,Tuaran,1/1/2022,25.8,19.2
Sarawak,Asajaya,1/1/2022,17.9,19.9
Sarawak,Bau,1/1/2022,8.3,18.7
Sarawak,Belaga,1/1/2022,19.5,28.1
Sarawak,Beluru,1/1/2022,13.7,18.9
Sarawak,Betong,1/1/2022,9.8,21.3
Sarawak,Bintulu,1/1/2022,3.5,1.9
Sarawak,Bukit Mabong,1/1/2022,8.2,39.2
Sarawak,Dalat,1/1/2022,11.1,19
Sarawak,Daro,1/1/2022,32.5,34.5
Sarawak,Julau,1/1/2022,31.2,46.8
Sarawak,Kabong,1/1/2022,8.6,26.9
Sarawak,Kanowit,1/1/2022,24.9,45.7
Sarawak,Kapit,1/1/2022,20.6,37.9
Sarawak,Kuching,1/1/2022,9.1,10.1
Sarawak,Lawas,1/1/2022,18.1,33.7
Sarawak,Limbang,1/1/2022,14.6,20.5
Sarawak,Lubok Antu,1/1/2022,14.8,32.7
Sarawak,Lundu,1/1/2022,13.1,23.2
Sarawak,Maradong,1/1/2022,19.5,36.4
Sarawak,Marudi,1/1/2022,12.9,20.6
Sarawak,Matu,1/1/2022,20.8,30.8
Sarawak,Miri,1/1/2022,6.3,6
Sarawak,Mukah,1/1/2022,14,21.4
Sarawak,Pakan,1/1/2022,17.6,29.4
Sarawak,Pusa,1/1/2022,17.2,28
Sarawak,Samarahan,1/1/2022,7.9,6.7
Sarawak,Saratok,1/1/2022,7.4,12.6
Sarawak,Sarikei,1/1/2022,20.9,30
Sarawak,Sebauh,1/1/2022,4.8,16.9
Sarawak,Selangau,1/1/2022,19.6,38
Sarawak,Serian,1/1/2022,14.6,22.7
Sarawak,Sibu,1/1/2022,10.2,14.8
Sarawak,Simunjan,1/1/2022,17.9,33.8
Sarawak,Song,1/1/2022,15.8,41.2
Sarawak,Sri Aman,1/1/2022,8.9,28.4
Sarawak,Subis,1/1/2022,4.7,14
Sarawak,Tanjung Manis,1/1/2022,20.7,33.7
Sarawak,Tatau,1/1/2022,5.9,14.1
Sarawak,Tebedu,1/1/2022,26.9,44.1
Sarawak,Telang Usan,1/1/2022,6,20.5
Selangor,Gombak,1/1/2022,2.4,13.8
Selangor,Klang,1/1/2022,2.2,20.3
Selangor,Kuala Langat,1/1/2022,0.3,9.4
Selangor,Kuala Selangor,1/1/2022,2.8,25.2
Selangor,Petaling,1/1/2022,1.6,14.9
Selangor,Sabak Bernam,1/1/2022,5.3,42.6
Selangor,Sepang,1/1/2022,0,3.4
Selangor,Ulu Langat,1/1/2022,0.5,7
Selangor,Ulu Selangor,1/1/2022,1.7,23.9
Terengganu,Besut,1/1/2022,12.7,11.3
Terengganu,Dungun,1/1/2022,2.2,2.4
Terengganu,Hulu Terengganu,1/1/2022,10.8,16.2
Terengganu,Kemaman,1/1/2022,4.1,5.8
Terengganu,Kuala Terengganu,1/1/2022,5.9,5
Terengganu,Marang,1/1/2022,9,11.8
Terengganu,Setiu,1/1/2022,7.5,6
W.P. Kuala Lumpur,W.P. Kuala Lumpur,1/1/2022,1.4,12.7
W.P. Labuan,W.P. Labuan,1/1/2022,2.5,7
W.P. Putrajaya,W.P. Putrajaya,1/1/2022,0.1,11.4
